Id;Label;Category
2060Z;Fabrication de fibres artificielles ou synthétiques;C
2110Z;Fabrication de produits pharmaceutiques de base;C
2120Z;Fabrication de préparations pharmaceutiques;C
2211Z;Fabrication et rechapage de pneumatiques;C
2219Z;Fabrication d'autres articles en caoutchouc;C
2221Z;Fabrication de plaques, feuilles, tubes et profilés en matières plastiques;C
2222Z;Fabrication d'emballages en matières plastiques;C
2223Z;Fabrication d'éléments en matières plastiques pour la construction;C
2229A;Fabrication de pièces techniques à base de matières plastiques;C
2229B;Fabrication de produits de consommation courante en matières plastiques;C
2311Z;Fabrication de verre plat;C
2312Z;Façonnage et transformation du verre plat;C
2313Z;Fabrication de verre creux;C
2314Z;Fabrication de fibres de verre;C
2319Z;Fabrication et façonnage d'autres articles en verre, y compris verre technique;C
2320Z;Fabrication de produits réfractaires;C
2331Z;Fabrication de carreaux en céramique;C
2332Z;Fabrication de briques, tuiles et produits de construction, en terre cuite;C
2341Z;Fabrication d'articles céramiques à usage domestique ou ornemental;C
2342Z;Fabrication d'appareils sanitaires en céramique;C
2343Z;Fabrication d'isolateurs et pièces isolantes en céramique;C
2344Z;Fabrication d'autres produits céramiques à usage technique;C
2349Z;Fabrication d'autres produits céramiques;C
2351Z;Fabrication de ciment;C
2352Z;Fabrication de chaux et plâtre;C
2361Z;Fabrication d'éléments en béton pour la construction;C
2362Z;Fabrication d'éléments en plâtre pour la construction;C
2363Z;Fabrication de béton prêt à l'emploi;C
2364Z;Fabrication de mortiers et bétons secs;C
2365Z;Fabrication d'ouvrages en fibre-ciment;C
2369Z;Fabrication d'autres ouvrages en béton, en ciment ou en plâtre;C
2370Z;Taille, façonnage et finissage de pierres;C
2391Z;Fabrication de produits abrasifs;C
2399Z;Fabrication d'autres produits minéraux non métalliques n.c.a.;C
2410Z;Sidérurgie;C
2420Z;Fabrication de tubes, tuyaux, profilés creux et accessoires correspondants en acier;C
2431Z;Étirage à froid de barres;C
2432Z;Laminage à froid de feuillards;C
2433Z;Profilage à froid par formage ou pliage;C
2434Z;Tréfilage à froid;C
2441Z;Production de métaux précieux;C
2442Z;Métallurgie de l'aluminium;C
2443Z;Métallurgie du plomb, du zinc ou de l'étain;C
2444Z;Métallurgie du cuivre;C
2445Z;Métallurgie des autres métaux non ferreux;C
2446Z;Élaboration et transformation de matières nucléaires;C
2451Z;Fonderie de fonte;C
2452Z;Fonderie d'acier;C
2453Z;Fonderie de métaux légers;C
2454Z;Fonderie d'autres métaux non ferreux;C
2511Z;Fabrication de structures métalliques et de parties de structures;C
2512Z;Fabrication de portes et fenêtres en métal;C
2521Z;Fabrication de radiateurs et de chaudières pour le chauffage central;C
2529Z;Fabrication d'autres réservoirs, citernes et conteneurs métalliques;C
2530Z;Fabrication de générateurs de vapeur, à l'exception des chaudières pour le chauffage central;C
2540Z;Fabrication d'armes et de munitions;C
2550A;"Forge, estampage, matriçage ; métallurgie des poudres";C
2550B;Découpage, emboutissage;C
2561Z;Traitement et revêtement des métaux;C
2562A;Décolletage;C
2562B;Mécanique industrielle;C
2571Z;Fabrication de coutellerie;C
2572Z;Fabrication de serrures et de ferrures;C
2573A;Fabrication de moules et modèles;C
2573B;Fabrication d'autres outillages;C
2591Z;Fabrication de fûts et emballages métalliques similaires;C
2592Z;Fabrication d'emballages métalliques légers;C
2593Z;Fabrication d'articles en fils métalliques, de chaînes et de ressorts;C
2594Z;Fabrication de vis et de boulons;C
2599A;Fabrication d'articles métalliques ménagers;C
2599B;Fabrication d'autres articles métalliques;C
2611Z;Fabrication de composants électroniques;C
2612Z;Fabrication de cartes électroniques assemblées;C
2620Z;Fabrication d'ordinateurs et d'équipements périphériques;C
2630Z;Fabrication d'équipements de communication;C
2640Z;Fabrication de produits électroniques grand public;C
2651A;Fabrication d'équipements d'aide à la navigation;C
2651B;Fabrication d'instrumentation scientifique et technique;C
2652Z;Horlogerie;C
2660Z;Fabrication d'équipements d'irradiation médicale, d'équipements électromédicaux et électrothérapeutiques;C
2670Z;Fabrication de matériels optique et photographique;C
2680Z;Fabrication de supports magnétiques et optiques;C
2711Z;Fabrication de moteurs, génératrices et transformateurs électriques;C
2712Z;Fabrication de matériel de distribution et de commande électrique;C
2720Z;Fabrication de piles et d'accumulateurs électriques;C
2731Z;Fabrication de câbles de fibres optiques;C
2732Z;Fabrication d'autres fils et câbles électroniques ou électriques;C
2733Z;Fabrication de matériel d'installation électrique;C
2740Z;Fabrication d'appareils d'éclairage électrique;C
2751Z;Fabrication d'appareils électroménagers;C
2752Z;Fabrication d'appareils ménagers non électriques;C
2790Z;Fabrication d'autres matériels électriques;C
2811Z;Fabrication de moteurs et turbines, à l'exception des moteurs d’avions et de véhicules;C
2812Z;Fabrication d'équipements hydrauliques et pneumatiques;C
2813Z;Fabrication d'autres pompes et compresseurs;C
2814Z;Fabrication d'autres articles de robinetterie;C
2815Z;Fabrication d'engrenages et d'organes mécaniques de transmission;C
2821Z;Fabrication de fours et brûleurs;C
2822Z;Fabrication de matériel de levage et de manutention;C
2823Z;Fabrication de machines et d'équipements de bureau (à l'exception des ordinateurs et équipements périphériques);C
2824Z;Fabrication d'outillage portatif à moteur incorporé;C
2825Z;Fabrication d'équipements aérauliques et frigorifiques industriels;C
2829A;Fabrication d'équipements d'emballage, de conditionnement et de pesage;C
2829B;Fabrication d'autres machines d'usage général;C
2830Z;Fabrication de machines agricoles et forestières;C
2841Z;Fabrication de machines-outils pour le travail des métaux;C
2849Z;Fabrication d'autres machines-outils;C
2891Z;Fabrication de machines pour la métallurgie;C
2892Z;Fabrication de machines pour l'extraction ou la construction;C
2893Z;Fabrication de machines pour l'industrie agro-alimentaire;C
2894Z;Fabrication de machines pour les industries textiles;C
2895Z;Fabrication de machines pour les industries du papier et du carton;C
2896Z;Fabrication de machines pour le travail du caoutchouc ou des plastiques;C
2899A;Fabrication de machines d'imprimerie;C
2899B;Fabrication d'autres machines spécialisées;C
2910Z;Construction de véhicules automobiles;C
2920Z;Fabrication de carrosseries et remorques;C
2931Z;Fabrication d'équipements électriques et électroniques automobiles;C
2932Z;Fabrication d'autres équipements automobiles;C
3011Z;Construction de navires et de structures flottantes;C
3012Z;Construction de bateaux de plaisance;C
3020Z;Construction de locomotives et d'autre matériel ferroviaire roulant;C
3030Z;Construction aéronautique et spatiale;C
3040Z;Construction de véhicules militaires de combat;C
3091Z;Fabrication de motocycles;C
3092Z;Fabrication de bicyclettes et de véhicules pour invalides;C
3099Z;Fabrication d’autres équipements de transport n.c.a.;C
3101Z;Fabrication de meubles de bureau et de magasin;C
3102Z;Fabrication de meubles de cuisine;C
3103Z;Fabrication de matelas;C
3109A;Fabrication de sièges d'ameublement d'intérieur;C
3109B;Fabrication d’autres meubles et industries connexes de l’ameublement;C
3211Z;Frappe de monnaie;C
3212Z;Fabrication d’articles de joaillerie et bijouterie;C
3213Z;Fabrication d’articles de bijouterie fantaisie et articles similaires;C
3220Z;Fabrication d'instruments de musique;C
3230Z;Fabrication d'articles de sport;C
3240Z;Fabrication de jeux et jouets;C
3250A;Fabrication de matériel médico-chirurgical et dentaire;C
3250B;Fabrication de lunettes;C
3291Z;Fabrication d’articles de brosserie;C
3299Z;Autres activités manufacturières n.c.a.;C
3311Z;Réparation d'ouvrages en métaux;C
3312Z;Réparation de machines et équipements mécaniques;C
3313Z;Réparation de matériels électroniques et optiques;C
3314Z;Réparation d'équipements électriques;C
3315Z;Réparation et maintenance navale;C
3316Z;Réparation et maintenance d'aéronefs et d'engins spatiaux;C
3317Z;Réparation et maintenance d'autres équipements de transport;C
3319Z;Réparation d'autres équipements;C
3320A;Installation de structures métalliques, chaudronnées et de tuyauterie;C
3320B;Installation de machines et équipements mécaniques;C
3320C;Conception d'ensemble et assemblage sur site industriel d'équipements de contrôle des processus industriels;C
3320D;Installation d'équipements électriques, de matériels électroniques et optiques ou d'autres matériels;C
3511Z;Production d'électricité;D
3512Z;Transport d'électricité;D
3513Z;Distribution d'électricité;D
3514Z;Commerce d'électricité;D
3521Z;Production de combustibles gazeux;D
3522Z;Distribution de combustibles gazeux par conduites;D
3523Z;Commerce de combustibles gazeux par conduites;D
3530Z;Production et distribution de vapeur et d'air conditionné;D
3600Z;Captage, traitement et distribution d'eau;E
3700Z;Collecte et traitement des eaux usées;E
3811Z;Collecte des déchets non dangereux;E
3812Z;Collecte des déchets dangereux;E
3821Z;Traitement et élimination des déchets non dangereux;E
3822Z;Traitement et élimination des déchets dangereux;E
3831Z;Démantèlement d'épaves;E
3832Z;Récupération de déchets triés;E
3900Z;Dépollution et autres services de gestion des déchets;E
4110A;Promotion immobilière de logements;F
4110B;Promotion immobilière de bureaux;F
4110C;Promotion immobilière d'autres bâtiments;F
4110D;Supports juridiques de programmes;F
4120A;Construction de maisons individuelles;F
4120B;Construction d'autres bâtiments;F
4211Z;Construction de routes et autoroutes;F
4212Z;Construction de voies ferrées de surface et souterraines;F
4213A;Construction d'ouvrages d'art;F
4213B;Construction et entretien de tunnels;F
4221Z;Construction de réseaux pour fluides;F
4222Z;Construction de réseaux électriques et de télécommunications;F
4291Z;Construction d'ouvrages maritimes et fluviaux;F
4299Z;Construction d'autres ouvrages de génie civil n.c.a.;F
4311Z;Travaux de démolition;F
4312A;Travaux de terrassement courants et travaux préparatoires;F
4312B;Travaux de terrassement spécialisés ou de grande masse;F
4313Z;Forages et sondages;F
4321A;Travaux d'installation électrique dans tous locaux;F
4321B;Travaux d'installation électrique sur la voie publique;F
4322A;Travaux d'installation d'eau et de gaz en tous locaux;F
4322B;Travaux d'installation d'équipements thermiques et de climatisation;F
4329A;Travaux d'isolation;F
4329B;Autres travaux d'installation n.c.a.;F
4331Z;Travaux de plâtrerie;F
4332A;Travaux de menuiserie bois et PVC;F
4332B;Travaux de menuiserie métallique et serrurerie;F
4332C;Agencement de lieux de vente;F
4333Z;Travaux de revêtement des sols et des murs;F
4334Z;Travaux de peinture et vitrerie;F
4339Z;Autres travaux de finition;F
4391A;Travaux de charpente;F
4391B;Travaux de couverture par éléments;F
4399A;Travaux d'étanchéification;F
4399B;Travaux de montage de structures métalliques;F
