source;target;weight
2593;2594;1
2593;4669;1
2593;7112;1
2594;2562;1
2594;2599;1
2594;7112;1
2599;2571;1
2599;2599;1
2599;2223;1
2599;2511;1
2599;2550;2
2599;2562;1
2599;2571;1
2599;2599;1
2599;2740;1
2599;2829;1
2599;3099;1
2599;3311;1
2599;4211;2
2599;4332;1
2599;4669;2
2599;6820;2
2599;8690;1
2611;2512;1
2611;2562;1
2611;2612;2
2611;2711;1
2611;3320;1
2611;3511;1
2611;4669;1
2611;4672;1
2611;6201;2
2611;7112;1
2611;7219;4
2612;2314;1
2612;2611;3
2612;2651;1
2612;2651;1
2612;3250;1
2612;3313;1
2612;3320;1
2612;4652;2
2612;6820;2
2620;3312;1
2620;3320;1
2620;5829;1
2620;5829;1
2620;6201;1
2620;6202;1
2620;6203;1
2620;6630;1
2620;7219;1
2620;9511;2
2630;2640;1
2630;2790;1
2630;3320;6
2630;4652;3
2630;5920;1
2630;6110;1
2630;6202;2
2630;7219;1
2630;7311;1
2630;7410;1
2630;8020;1
2630;9512;1
2640;2825;1
2640;2931;1
2640;4669;1
2640;4743;1
2640;4791;1
2640;6201;1
2640;9521;1
2651;3316;1
2651;3320;1
2651;4791;1
2651;2059;1
2651;2611;1
2651;2630;1
2651;2660;1
2651;2670;2
2651;2813;1
2651;2829;1
2651;2899;1
2651;3313;4
2651;4399;1
2651;4652;2
2651;7120;2
2651;7219;1
2652;2229;1
2652;4321;1
2652;4648;1
2652;7010;1
2652;9525;1
2660;3313;1
2660;4646;1
2660;4774;1
2670;2561;1
2670;2651;2
2670;3250;2
2670;4643;1
2670;4646;1
2670;4649;1
2670;4778;5
2680;4321;1
2711;3314;1
2711;3320;1
2711;3511;1
2711;4321;1
2711;4669;1
2711;4669;1
2711;6420;1
2711;6820;1
2712;2511;1
2712;2599;1
2712;2611;1
2712;2733;1
2712;2830;1
2712;3314;1
2712;3320;2
2712;4321;1
2712;4322;1
2712;4669;1
2720;3511;1
2720;4669;2
2731;3320;1
2731;9511;1
2732;2599;1
2732;4669;1
2732;6820;1
2733;2611;1
2733;2712;2
2733;2732;1
2733;3312;1
2733;4321;1
2733;4690;1
2733;7112;1
2733;8121;1
2740;2229;1
2740;2611;1
2740;2731;1
2740;3320;1
2740;4618;1
