source;target;count
1413Z;5610C;1
1413Z;6820B;1
1413Z;7022Z;1
1413Z;7410Z;2
1413Z;9002Z;1
1413Z;9529Z;3
1414Z;1330Z;1
1414Z;1413Z;1
1414Z;4642Z;1
1419Z;1413Z;3
1419Z;1414Z;1
1419Z;1419Z;1
1419Z;1431Z;1
1419Z;1512Z;1
1419Z;1812Z;1
1419Z;4642Z;6
1419Z;4771Z;4
1419Z;7410Z;2
1419Z;8230Z;1
1419Z;9529Z;1
1420Z;6499Z;1
1439Z;1413Z;1
1439Z;1439Z;2
1439Z;4751Z;2
1511Z;1512Z;1
1511Z;3030Z;1
1512Z;1392Z;1
1512Z;1413Z;1
1512Z;1419Z;1
1512Z;1512Z;1
1512Z;2932Z;2
1512Z;3020Z;1
1512Z;3230Z;1
1512Z;4532Z;1
1512Z;4649Z;1
1512Z;4791B;1
1512Z;6820B;1
1512Z;7022Z;1
1512Z;8559A;1
1520Z;1520Z;1
1520Z;3250A;1
1520Z;4642Z;2
1520Z;4764Z;1
1520Z;4772A;2
1520Z;6820B;2
1520Z;8690E;1
1610A;0210Z;1
1610A;0220Z;3
1610A;0240Z;1
1610A;1610A;2
1610A;1622Z;1
1610A;1623Z;2
1610A;3511Z;1
1610A;4399C;1
1610A;4613Z;1
1610A;4673A;9
1610A;6630Z;1
1610A;6820B;1
1610A;7010Z;1
1610A;8130Z;2
1610B;1610B;1
1610B;4329A;4
1610B;4332A;1
1610B;4391B;5
1610B;4399A;1
1610B;4399C;1
1610B;4399D;1
1610B;4673A;1
1610B;8129A;1
1621Z;1610A;1
1621Z;1623Z;1
1621Z;2365Z;1
1621Z;4399D;1
1621Z;4673A;1
1622Z;1610A;2
1622Z;3109B;1
1622Z;4332A;1
1623Z;1610A;1
1623Z;1623Z;5
1623Z;1624Z;1
1623Z;2223Z;2
1623Z;2512Z;1
1623Z;2550A;1
1623Z;3101Z;1
1623Z;3109B;3
1623Z;4120A;1
1623Z;4329B;1
1623Z;4332A;13
1623Z;4332B;1
1623Z;4332C;1
1623Z;4333Z;1
1623Z;4391A;9
1623Z;4391B;1
1623Z;4399C;2
1623Z;4673A;1
1623Z;4752A;1
1623Z;4759A;1
1623Z;4779Z;1
1623Z;9524Z;1
1624Z;1610A;1
1624Z;1623Z;2
1624Z;1624Z;1
1624Z;3311Z;1
1624Z;4673A;2
1624Z;5630Z;1
1624Z;6820B;1
1624Z;9329Z;1
1629Z;1610A;1
1629Z;1623Z;1
1629Z;1624Z;1
1629Z;1629Z;1
1629Z;3240Z;1
1629Z;4332A;2
1629Z;4669B;1
1629Z;4764Z;1
1629Z;4778C;1
1629Z;8559B;1
1629Z;9313Z;1
1629Z;9329Z;1
1712Z;1721B;1
1712Z;1723Z;1
1721A;1721B;2
1721B;1721A;3
1721B;1721C;1
1721B;1723Z;1
1721B;4669B;1
1721B;4676Z;1
1721C;1712Z;1
1721C;1729Z;1
1722Z;1722Z;1
1723Z;1723Z;1
1723Z;1729Z;2
1723Z;6832A;1
1723Z;7830Z;1
1729Z;1712Z;1
1729Z;1722Z;1
1729Z;1812Z;1
1729Z;4676Z;1
1729Z;7733Z;1
1811Z;7410Z;1
1812Z;1320Z;1
1812Z;1399Z;2
1812Z;1419Z;1
1812Z;1721C;1
1812Z;1811Z;1
1812Z;1812Z;4
1812Z;1813Z;5
1812Z;2611Z;1
1812Z;3030Z;1
1812Z;4662Z;1
1812Z;4776Z;1
1812Z;4778C;2
1812Z;4791A;1
1812Z;5520Z;1
1812Z;5610C;1
1812Z;5811Z;2
1812Z;5814Z;1
1812Z;6202A;1
1812Z;6391Z;1
1812Z;6420Z;2
1812Z;6630Z;1
1812Z;6832A;1
1812Z;7311Z;5
1812Z;7312Z;1
1812Z;8219Z;2
1812Z;9002Z;3
1812Z;9529Z;1
1812Z;9609Z;1
1813Z;1812Z;15
1813Z;1813Z;4
1813Z;2016Z;1
1813Z;2221Z;1
1813Z;2550B;1
1813Z;2740Z;1
1813Z;2899B;1
1813Z;4329B;2
1813Z;4331Z;1
1813Z;4334Z;1
1813Z;4618Z;1
1813Z;4644Z;1
1813Z;4669C;1
1813Z;4759A;1
1813Z;4778C;2
1813Z;5811Z;1
1813Z;5911B;1
1813Z;5920Z;1
1813Z;6201Z;2
1813Z;6203Z;1
1813Z;7021Z;2
1813Z;7112A;1
1813Z;7112B;1
1813Z;7311Z;11
1813Z;7410Z;5
1813Z;7420Z;2
1813Z;8211Z;1
1813Z;8219Z;1
1813Z;8230Z;1
1820Z;4675Z;1
1820Z;5912Z;1
1820Z;5920Z;3
1820Z;9329Z;1
1920Z;2059Z;1
2012Z;6820B;1
2013A;4672Z;1
2013B;0811Z;1
2013B;2030Z;1
2013B;2059Z;1
2013B;4675Z;1
2014Z;0161Z;1
2014Z;1103Z;1
2014Z;2014Z;2
2014Z;2015Z;1
2014Z;2041Z;1
2014Z;2051Z;1
2014Z;2110Z;1
2014Z;4675Z;1
2014Z;7112B;1
2015Z;4675Z;1
2016Z;2016Z;1
2016Z;2059Z;2
2016Z;2222Z;1
2016Z;2562B;1
2016Z;3832Z;1
2016Z;4791B;1
2016Z;7739Z;1
2017Z;2016Z;1
2017Z;2030Z;1
2020Z;2059Z;1
2030Z;2012Z;1
2030Z;2016Z;1
2030Z;2059Z;1
2030Z;3299Z;1
2030Z;4334Z;1
2030Z;4675Z;2
2030Z;6820B;1
2030Z;7022Z;1
2041Z;2014Z;1
2041Z;2020Z;2
2041Z;2041Z;1
2041Z;2042Z;6
2041Z;6820B;2
2041Z;6831Z;1
2041Z;7010Z;1
2041Z;8559B;1
2042Z;1089Z;1
2042Z;1413Z;1
2042Z;2041Z;2
2042Z;2042Z;1
2042Z;4639B;1
2042Z;4645Z;1
2042Z;4775Z;2
2042Z;7219Z;1
2042Z;7740Z;1
2042Z;8292Z;2
2042Z;8559A;1
2053Z;2042Z;1
2053Z;4775Z;1
2053Z;8559B;1
2059Z;1041A;1
2059Z;1920Z;1
2059Z;2014Z;1
2059Z;2030Z;1
2059Z;2041Z;3
2059Z;2059Z;2
2059Z;2120Z;1
2059Z;2670Z;1
2059Z;4671Z;1
2059Z;4675Z;3
2060Z;9609Z;1
2110Z;2014Z;1
2110Z;2120Z;2
2110Z;7740Z;1
2120Z;1089Z;1
2120Z;2042Z;2
2120Z;2059Z;1
2120Z;2120Z;2
2120Z;3250A;1
2120Z;4646Z;7
2120Z;4778B;1
2120Z;6399Z;1
2120Z;7010Z;2
2120Z;7211Z;1
2211Z;4520B;1
2219Z;2030Z;1
2219Z;2219Z;2
2219Z;2229B;1
2219Z;2825Z;1
2219Z;2932Z;1
2219Z;3319Z;1
2219Z;4333Z;1
2219Z;4669B;2
2219Z;6820B;1
221E;7022Z;1
2221Z;1394Z;1
2221Z;1812Z;2
2221Z;2222Z;2
2221Z;2223Z;1
2221Z;2229A;1
2221Z;2229B;1
2221Z;2829B;1
2221Z;4332A;1
2221Z;4662Z;1
2221Z;4669B;2
2221Z;6820B;1
2222Z;2221Z;1
2222Z;2229B;1
2222Z;2313Z;1
2222Z;4641Z;1
2222Z;6820B;1
2223Z;1392Z;1
2223Z;2221Z;2
2223Z;2223Z;2
2223Z;2229A;1
2223Z;2512Z;1
2223Z;4332A;3
2223Z;4399A;1
2223Z;4669B;2
2223Z;6820B;1
2223Z;7022Z;1
2223Z;7112B;1
2229A;2016Z;1
2229A;2219Z;1
2229A;2221Z;1
2229A;2222Z;1
2229A;2223Z;3
2229A;2229A;2
2229A;2229B;7
2229A;2562B;1
2229A;2599B;1
2229A;2740Z;1
2229A;2825Z;1
2229A;2894Z;1
2229A;2932Z;7
2229A;3250A;1
2229A;4669B;1
2229A;6820B;2
2229A;7112B;1
2229B;1812Z;1
2229B;2222Z;2
2229B;2229A;2
2229B;2599B;1
2229B;3240Z;1
2229B;3315Z;1
2229B;4669B;1
2229B;4673A;1
2229B;4778C;1
2229B;6420Z;1
2229B;6630Z;1
2229B;6920Z;1
222C;4759A;1
222C;7022Z;1
2311Z;2313Z;1
2312Z;2313Z;1
2312Z;2319Z;1
2312Z;4334Z;2
2312Z;8230Z;1
2313Z;2312Z;1
2313Z;4778C;1
2313Z;9003A;1
2314Z;2060Z;1
2314Z;2399Z;1
2319Z;2313Z;4
2319Z;2829B;1
2319Z;4531Z;1
2319Z;4636Z;1
2319Z;4673A;1
2319Z;4778A;1
2320Z;8552Z;1
2331Z;0812Z;1
2331Z;2320Z;1
2331Z;2331Z;1
2331Z;8559B;1
2332Z;2331Z;1
2332Z;6820B;1
2341Z;2341Z;1
2341Z;2370Z;1
2341Z;4391B;1
2341Z;5520Z;1
2342Z;2342Z;1
2342Z;4673B;1
2344Z;2343Z;1
2344Z;7219Z;2
2349Z;2341Z;1
2349Z;2349Z;2
2349Z;3213Z;1
2349Z;7830Z;1
2351Z;0812Z;1
2351Z;6820B;1
2361Z;2363Z;4
2361Z;2364Z;1
2361Z;2592Z;1
2361Z;4673A;1
2361Z;6630Z;1
2361Z;6820B;2
2362Z;2352Z;1
2362Z;2442Z;1
2363Z;0812Z;1
2363Z;2361Z;2
2363Z;2363Z;1
2363Z;4399C;1
2363Z;4673A;1
2363Z;4941B;2
2363Z;8211Z;1
2364Z;2030Z;1
2364Z;2361Z;1
2369Z;2361Z;1
2369Z;2369Z;1
2369Z;4399C;1
2369Z;4511Z;1
2369Z;4673A;1
2369Z;4674B;1
2370Z;0811Z;2
2370Z;2369Z;1
2370Z;2370Z;4
2370Z;3102Z;1
2370Z;4333Z;3
2370Z;4399C;5
2370Z;4399D;10
2370Z;4649Z;1
2370Z;4673A;3
2370Z;4674B;1
2370Z;4759B;1
2370Z;4778C;3
2370Z;7022Z;1
2370Z;7490B;1
2370Z;7739Z;1
2370Z;8129B;1
2370Z;9603Z;11
2391Z;2399Z;1
2399Z;1729Z;1
2399Z;2351Z;1
2399Z;2361Z;1
2399Z;2364Z;1
2399Z;2399Z;1
2399Z;7010Z;1
2399Z;7830Z;1
2410Z;2410Z;1
2410Z;2444Z;1
2410Z;2562B;1
2410Z;7112B;1
2420Z;2420Z;1
2420Z;2445Z;1
2420Z;2511Z;2
2420Z;2530Z;1
2420Z;2562B;1
2420Z;2814Z;1
2420Z;3311Z;2
2420Z;3320A;2
2420Z;4332B;1
2420Z;7010Z;1
2431Z;2431Z;1
2433Z;1621Z;1
2433Z;2550B;1
2433Z;7022Z;1
2434Z;4669B;1
2441Z;2441Z;1
2441Z;2454Z;1
2441Z;3212Z;1
2441Z;4672Z;1
2442Z;2442Z;1
2442Z;2550B;1
2442Z;4672Z;1
2442Z;7022Z;1
2443Z;4672Z;1
2444Z;2562B;1
2445Z;2511Z;2
2445Z;2512Z;1
2445Z;2550B;1
2451Z;2451Z;1
2454Z;2452Z;1
2454Z;5610C;1
246L;7112B;1
2511Z;1623Z;1
2511Z;2511Z;6
2511Z;2512Z;8
2511Z;2529Z;2
2511Z;2530Z;1
2511Z;2550B;1
2511Z;2562B;4
2511Z;2599B;3
2511Z;2830Z;1
2511Z;3311Z;2
2511Z;3312Z;1
2511Z;3320A;14
2511Z;4332B;8
2511Z;4339Z;1
2511Z;4399B;5
2511Z;6420Z;1
2511Z;6820B;3
2511Z;7010Z;1
2511Z;7022Z;2
2511Z;7112B;3
2511Z;8211Z;1
2512Z;1392Z;1
2512Z;2223Z;1
